target,horizon_k,input,n_test,Lasso R2,Lasso MAE,Lasso RMSE,RF R2,RF MAE,RF RMSE,XGBoost R2,XGBoost MAE,XGBoost RMSE,TabPFN R2,TabPFN MAE,TabPFN RMSE,Pers R2,Pers MAE,Pers RMSE,best R2,best MAE,best RMSE,TabPFN>pers R2,TabPFN>pers MAE,TabPFN>pers RMSE,verdict
temperature,1,16S,373.0,-845.1086257357438,15.0063469842974,66.13431335757511,-0.348065377048776,2.259471273518635,2.6397893043176306,-0.4559760861566948,2.3221476653500472,2.7434112075929225,0.1352968630718396,1.7969877321708618,2.1142060185382685,0.7831327113903802,0.8107442359249329,1.0587923930252572,TabPFN,TabPFN,TabPFN,False,False,False,TabPFN — all 3
temperature,1,18S,373.0,-708.9763236545314,33.71817757954967,60.580899944173694,-1.1140272705213392,2.702775610088709,3.30574294853713,-0.9926321075160258,2.644657118621908,3.209425873817091,0.0738512653727082,1.9223953402460423,2.1880344542602064,0.7831327113903802,0.8107442359249329,1.0587923930252572,TabPFN,TabPFN,TabPFN,False,False,False,TabPFN — all 3
temperature,1,16S+18S,373.0,-5.486662832332253,3.676879226257391,5.790611784052265,-1.5049450771450528,2.803739274384024,3.598428614511917,-0.8826905816000346,2.465699140649954,3.1196312532171877,0.1736994695210324,1.788872064311255,2.0667255254989243,0.7831327113903802,0.8107442359249329,1.0587923930252572,TabPFN,TabPFN,TabPFN,False,False,False,TabPFN — all 3
temperature,2,16S,357.0,-6.280536732173794,4.836930554584906,6.199113390616632,-0.5944604995219238,2.49074294071955,2.901046993843132,-1.6205457865807875,3.1169300334513683,3.719150540482009,-0.1655189141565887,2.1095874345560364,2.480319024848157,0.6922797425803795,1.0353210084033613,1.2744591660976905,TabPFN,TabPFN,TabPFN,False,False,False,TabPFN — all 3
temperature,2,18S,357.0,-17.9232133949417,5.50554321466808,9.994137611904153,-1.967229243293903,3.2754110958295186,3.957522857206599,-1.93743024014622,3.385503684993284,3.937600598573561,-0.1648709263816024,2.1884324734364573,2.479629443650547,0.6922797425803795,1.0353210084033613,1.2744591660976905,TabPFN,TabPFN,TabPFN,False,False,False,TabPFN — all 3
temperature,2,16S+18S,357.0,-38.22625469268122,6.072608703411413,14.389188553233586,-1.7337342104751374,3.0049030799918337,3.7986215301671296,-2.266070042701986,3.478391963304792,4.152031395045909,-0.0356697318965655,2.0323365601739964,2.338075459575065,0.6922797425803795,1.0353210084033613,1.2744591660976905,TabPFN,TabPFN,TabPFN,False,False,False,TabPFN — all 3
temperature,3,16S,341.0,-5.228226180740866,4.357405898273661,5.690774220590785,-0.3225757027381446,2.2381052270388806,2.6224030271910737,-0.9851749695680364,2.825890840591923,3.212836040518112,-0.0068237561579553,1.9706885699610557,2.288052023014617,0.5546790829313187,1.219506158357771,1.5216883474818914,TabPFN,TabPFN,TabPFN,False,False,False,TabPFN — all 3
temperature,3,18S,341.0,-207.0064276383372,14.151201689799734,32.88724890607804,-2.8115410721990983,3.916201746897492,4.451839203113227,-3.0019391453244277,3.979384820050997,4.56167570745296,-0.525728850151501,2.497695688765629,2.8166173282277933,0.5546790829313187,1.219506158357771,1.5216883474818919,TabPFN,TabPFN,TabPFN,False,False,False,TabPFN — all 3
temperature,3,16S+18S,341.0,-14.5692228996065,5.212098504143331,8.997516168625259,-1.4257040119762387,2.9308846002376434,3.5514693489744382,-2.2788563371752177,3.624288275766233,4.129052090902616,-0.1171950691309178,2.1180644992817186,2.4102032775544204,0.5546790829313187,1.219506158357771,1.5216883474818916,TabPFN,TabPFN,TabPFN,False,False,False,TabPFN — all 3
salinity,1,16S,374.0,-4.319983032654688,5.590644536242019,10.472194521939931,0.5546855535769237,2.2780776578524478,3.029814008427148,0.5250124069659727,2.4113630766985885,3.1291307466650182,0.4963024337768685,2.44605075434899,3.2223113668746874,0.5167712786202683,2.284768181818181,3.1561595297098988,RF,RF,RF,False,False,False,LOST — all 3
salinity,1,18S,374.0,-14.629810471972323,9.416658754475137,17.949792519995835,0.5344706601416569,2.321638293533035,3.097819475808778,0.4959394087407969,2.421054950905866,3.223472350253963,0.6177282923544647,2.1069653094906218,2.8071696213643085,0.5167712786202683,2.284768181818181,3.1561595297098988,TabPFN,TabPFN,TabPFN,True,True,True,TabPFN — all 3
salinity,1,16S+18S,374.0,-38.056437146534336,12.2796691876639,28.374543854798848,0.5566349502965754,2.253565684722107,3.0231751181447697,0.5501149324481526,2.300622859432608,3.0453230263723703,0.5588277760942358,2.292870381776216,3.0156897360236368,0.5167712786202683,2.284768181818181,3.156159529709899,TabPFN,RF,TabPFN,True,False,True,split (2/3)
salinity,2,16S,358.0,-5.435507574154879,5.545542623881475,11.35911934858392,0.5261375327155098,2.3744399613963605,3.0823320027209697,0.4297214982802355,2.5818013623733096,3.3814016458294103,0.4309989915141654,2.585247381755293,3.3776121468412303,0.4292145922269771,2.406696648044693,3.382904132975841,RF,RF,RF,True,False,True,LOST — all 3
