regime,split_seed,target,horizon_k,n_train,n_test,r2,mae,per_r2,per_mae,var_test
random_pairs,1,Atrazine,3,857,302,0.08004635587641296,0.2195682561968344,-0.32538152783423624,0.23708609271523176,0.6516679093022234
random_pairs,2,temperature,1,857,322,0.973731725735469,0.7604340815286746,0.958841826007386,1.0161030350903726,40.27016289882343
random_pairs,2,temperature,2,847,309,0.975708765650125,0.7180056637305725,0.9176639287154252,1.34868256853959,38.46689440976763
random_pairs,2,temperature,3,826,307,0.9730966262869757,0.7207682743398015,0.8631888173151219,1.7630894816003408,35.66415119695334
random_pairs,2,salinity,1,851,318,0.8610016063376619,1.4201651283213863,0.7011790242419045,1.9124278389368154,27.84728874564804
random_pairs,2,salinity,2,841,310,0.8511534715156083,1.4952637548669916,0.6944667722192603,2.0834281701706123,29.221916437068714
random_pairs,2,salinity,3,831,284,0.835513802486579,1.5638985005072141,0.6476606178823351,2.339597882259561,29.565206740695807
random_pairs,2,Chl_a_log1p,1,985,410,0.6548162283303177,0.3989281541895914,0.510010996494555,0.4585727681461775,0.8294280013517535
random_pairs,2,Chl_a_log1p,2,962,402,0.6560526229949537,0.3961961682850549,0.3426223971970609,0.5462318530981796,0.8990463992315979
random_pairs,2,Chl_a_log1p,3,945,383,0.6256436695567356,0.4051682671312413,0.32115921641649803,0.5427678334165926,0.8551622960465822
random_pairs,2,Caffeine,1,894,353,0.5767140188406026,13.248372423750146,0.22139087137992763,15.75127478753541,1275.0063905496393
random_pairs,2,Caffeine,2,876,331,0.4836685969858122,12.171130865218055,-0.4812634296761469,18.8226586102719,970.9537474101185
random_pairs,2,Caffeine,3,852,313,0.4287614012324702,13.009038889217683,-0.4290973059381791,21.884664536741212,1666.249016729782
random_pairs,2,Metoprolol,1,893,356,0.4450271902294356,13.791981757641508,-0.04870589385691049,14.98005617977528,1700.3853948365104
random_pairs,2,Metoprolol,2,867,341,0.3854205256883675,14.904187051711546,0.3393639574133671,15.147214076246332,1404.4914206104177
random_pairs,2,Metoprolol,3,857,317,0.3302036081231835,13.846270776988957,-0.04951051163736575,16.203785488958992,951.287213923912
random_pairs,2,Atrazine,1,878,366,0.21160460870351427,0.16810598881507918,-0.5129565778137395,0.21174863387978143,0.5126032428558629
random_pairs,2,Atrazine,2,865,343,0.19841136110727275,0.17458036738208904,-1.0344198487954896,0.2903790087463557,0.530663244056473
random_pairs,2,Atrazine,3,852,306,0.16296652365889552,0.14566891116866792,-0.8572706783644968,0.20555555555555555,0.3974663590926566
random_pairs,3,temperature,1,867,316,0.9748332143338944,0.728085256157494,0.9580643068264385,0.9933522137347199,38.7571512963406
random_pairs,3,temperature,2,841,316,0.9765085731305215,0.7164379256413835,0.9158992421656766,1.4327700798134644,41.15268569683927
random_pairs,3,temperature,3,828,306,0.9808851762240578,0.6842864986583975,0.8915030636208571,1.7413419911357844,41.761610063017265
