target,input,strategy,fold,r2_raw_count,r2_raw_hellinger,n_train,n_test,seed
temperature,16S+18S,leave_one_site_out,11,0.5108741091744904,0.9722730038621953,1134,89,42
temperature,16S+18S,leave_one_site_out,12,0.8813528964235786,0.9662697184281933,1138,85,42
temperature,16S+18S,leave_one_site_out,13,0.8251110191981481,0.9691243831702323,1139,84,42
salinity,16S,random_kfold,0,0.7628987939331505,0.9589566345817172,973,244,42
salinity,16S,random_kfold,1,0.7300410695346948,0.9544010314502451,973,244,42
salinity,16S,random_kfold,2,0.7328360773181699,0.9616054653472536,974,243,42
salinity,16S,random_kfold,3,0.7655342642595498,0.9559425844218314,974,243,42
salinity,16S,random_kfold,4,0.6160902846838008,0.9361138429745132,974,243,42
salinity,16S,temporal_holdout,0,0.22522513560954016,0.8594891185236041,974,243,42
salinity,16S,temporal_blocked_kfold,0,-6.554751405545597,0.6853657996598906,973,244,42
salinity,16S,temporal_blocked_kfold,1,-1.1779532592145712,0.6953437818534753,973,244,42
salinity,16S,temporal_blocked_kfold,2,0.2753333035980031,0.8563671234190067,974,243,42
salinity,16S,temporal_blocked_kfold,3,0.6799600417675324,0.9288034559305802,974,243,42
salinity,16S,temporal_blocked_kfold,4,0.22522513560954016,0.8594891185236041,974,243,42
salinity,16S,leave_one_site_out,0,0.4680324487150751,0.889262077256683,1130,87,42
salinity,16S,leave_one_site_out,1,0.5409563137950942,0.9244955532113689,1133,84,42
salinity,16S,leave_one_site_out,2,0.39484564382552223,0.8924695879467536,1135,82,42
salinity,16S,leave_one_site_out,3,0.4492455824970857,0.7946517579134609,1129,88,42
salinity,16S,leave_one_site_out,4,0.3411540653831536,0.6615694943794905,1129,88,42
salinity,16S,leave_one_site_out,5,-1013.6665893298854,-401.9062445977124,1127,90,42
salinity,16S,leave_one_site_out,6,0.43109554044167486,0.9122981324417805,1128,89,42
salinity,16S,leave_one_site_out,7,0.7804875153946171,0.9663996633012238,1129,88,42
salinity,16S,leave_one_site_out,8,0.7239372967425615,0.8856897637872092,1127,90,42
salinity,16S,leave_one_site_out,9,0.8252774786738546,0.930565346941558,1130,87,42
salinity,16S,leave_one_site_out,10,0.6904935166787902,0.9537312821787728,1131,86,42
