,,,R2,R2,R2,R2,MAE,MAE,MAE,MAE,RMSE,RMSE,RMSE,RMSE
,,,Lasso,RF,XGBoost,TabPFN,Lasso,RF,XGBoost,TabPFN,Lasso,RF,XGBoost,TabPFN
target,input,strategy,,,,,,,,,,,,
Chl_a_log1p,18S,random_kfold,0.5623,0.7544,0.7533,0.7915,0.383,0.317,0.315,0.278,,0.464,0.466,0.427
Chl_a_log1p,18S,temporal_blocked_kfold,-55.5269,0.624,0.6503,0.6808,1.715,0.39,0.374,0.346,4.798,0.531,0.517,0.487
Chl_a_log1p,18S,temporal_holdout,-1.7033,0.8063,0.8127,0.8406,0.84,0.297,0.291,0.257,1.497,0.401,0.394,0.364
Metoprolol,16S,leave_one_site_out,-2.0477,-1.7684807013014685,-2.118052905188238,-1.7025,19.308,15.70362793907547,15.591124781309231,13.262,29.481,24.26679405455605,26.637370294947186,21.818
Metoprolol,16S,random_kfold,0.3427,0.4953,0.4769,0.5434,17.272,13.595,13.389,11.703,32.085,28.081,28.388,26.769
Metoprolol,16S,temporal_blocked_kfold,-0.4687,0.0424,-0.3674,0.1051,22.113,18.524,19.802,17.053,37.439,33.198,37.741,33.079
Metoprolol,16S,temporal_holdout,0.1746,0.2478228714069619,0.2218400900643418,0.0803,16.415,11.60788495966937,11.469427391553015,11.157,27.002,25.77650939388052,26.217934256581746,28.503
Metoprolol,16S+18S,leave_one_site_out,-138.65381212461023,-1.896988546938768,-2.32194259557856,-1.4579,33.45868046116373,15.733096493851113,15.642791833028095,13.477,92.1472382338734,24.26449534146869,25.73207173805528,22.074
Metoprolol,16S+18S,random_kfold,0.3235,0.4902641455379238,0.4664098280115817,0.5342,17.257,13.534795008977062,13.66313271397529,11.863,32.54,28.21183694778572,28.836057897956643,27.044
Metoprolol,16S+18S,temporal_blocked_kfold,-1.1582,-0.0012342847845778,-0.3978849656414506,0.1139,24.317,19.24893754700416,20.38025820388708,17.023,44.922,33.83996814479478,37.45914038842212,32.957
Metoprolol,16S+18S,temporal_holdout,0.1774,0.2382390609887595,0.1921714244811292,0.0652,15.922,11.321202755182693,11.44124937536173,11.639,26.956,25.94020438132827,26.713060611747103,28.736
Metoprolol,18S,leave_one_site_out,-135.5747,-2.840061461261049,-1.6957084698176923,-2.1418,38.24,17.747572025199794,17.556770860015224,14.536,93.637,26.97769439111886,26.97256237389983,23.2
Metoprolol,18S,random_kfold,0.2635,0.3684905414074321,0.3330395093272339,0.4679,19.347,16.044762547388167,16.485331834971376,12.895,33.986,31.21751923641885,32.17102468778886,28.725
Metoprolol,18S,temporal_blocked_kfold,-1.251,-0.1789062216486445,-0.2403994354742584,-0.0199,26.234,21.13796283709592,22.589194921040995,18.705,45.737,36.18865643369744,37.14180763568693,35.176
Metoprolol,18S,temporal_holdout,0.0484,0.1351303882880385,0.0719671550898807,0.0877,18.06,13.125398528909558,13.458418228267242,11.997,28.992,27.64008426693531,28.63160654236653,28.388
