target,input,strategy,Lasso R2,Lasso MAE,Lasso RMSE,RF R2,RF MAE,RF RMSE,XGBoost R2,XGBoost MAE,XGBoost RMSE,TabPFN R2,TabPFN MAE,TabPFN RMSE,best R2,best MAE,best RMSE,unanimous
Chl_a_log1p,16S+18S,temporal_holdout,-0.1812,0.633,0.99,0.8156,0.295,0.391,0.8117,0.293,0.395,0.8484,0.255,0.355,TabPFN,TabPFN,TabPFN,True
Chl_a_log1p,16S+18S,temporal_blocked_kfold,-6.7183,1.041,2.148,0.646,0.379,0.512,0.6642,0.363,0.504,0.6625,0.359,0.495,XGBoost,TabPFN,TabPFN,False
Chl_a_log1p,16S+18S,leave_one_site_out,-2.1503,0.489,0.828,0.3518,0.32,0.457,0.3597,0.309,0.45,0.4238,0.286,0.429,TabPFN,TabPFN,TabPFN,True
Caffeine,16S,random_kfold,0.4386,16.182,29.072,0.6221,12.383,23.981,0.6002,12.233,24.394,0.6887,10.581,21.812,TabPFN,TabPFN,TabPFN,True
Caffeine,16S,temporal_holdout,-1.4935,23.207,38.957,0.4203,10.659,18.784,0.4307252891867994,10.527007969405298,18.61425701169278,0.4995,9.317,17.454,TabPFN,TabPFN,TabPFN,True
Caffeine,16S,temporal_blocked_kfold,-259.389,103.731,303.717,0.292,19.03,30.351,0.2454,18.985,31.081,0.3416,17.34,29.316,TabPFN,TabPFN,TabPFN,True
Caffeine,16S,leave_one_site_out,0.0044,16.385,28.924,0.3937725388412555,13.161086080672463,23.808641351450365,0.289510321320707,13.094989341505787,24.058421438148788,0.4331,11.425,22.142,TabPFN,TabPFN,TabPFN,True
Caffeine,18S,random_kfold,0.401,16.307,29.947,0.5191320992435502,13.723088595126177,27.023231759100646,0.4338840723750626,14.142639891017126,28.925416634910324,0.5976,11.926,24.684,TabPFN,TabPFN,TabPFN,True
Caffeine,18S,temporal_holdout,0.0983,13.416,23.427,0.1523976040478066,11.06828338279767,22.713331956940625,0.1958553968235197,12.584864662229554,22.12339819371444,0.2128,10.498,21.888,TabPFN,TabPFN,TabPFN,True
Caffeine,18S,temporal_blocked_kfold,-682.0566,265.224,742.18,-0.0132425089977134,21.757191850498693,35.58889220115596,-0.1053725925868104,23.286333361079315,36.57681859602119,0.0253,19.96,34.693,TabPFN,TabPFN,TabPFN,True
Caffeine,18S,leave_one_site_out,-27.9064,35.429,79.525,0.2522737817067073,14.588187826452872,26.342986364016408,-0.0093855619062076,14.646545216887288,28.026785974619592,0.347,12.859,24.628,TabPFN,TabPFN,TabPFN,True
Caffeine,16S+18S,random_kfold,0.4935,14.764,27.683,0.6327713853777623,12.075141788372967,23.63458668025103,0.6349642693327345,12.088062825463975,23.49462133563605,0.6581,10.948,22.839,TabPFN,TabPFN,TabPFN,True
Caffeine,16S+18S,temporal_holdout,0.2746,12.828,21.012,0.3729988362377352,10.844517482880535,19.5352482180826,0.311020853352521,11.482517743665118,20.478012275848965,0.3577,10.109,19.772,RF,TabPFN,RF,False
Caffeine,16S+18S,temporal_blocked_kfold,-6.1965,38.211,73.113,0.2515099887302406,19.932531563410688,31.288218193485363,0.2275652377241038,19.736414748087903,31.61261220309229,0.2291,18.55,31.18,RF,TabPFN,TabPFN,False
Caffeine,16S+18S,leave_one_site_out,-2.0637,18.007,39.027,0.4067859838157466,12.823780196741206,23.558350200296207,0.2437255806931512,12.74857235309604,24.134844300834803,0.3916,12.232,23.407,RF,TabPFN,TabPFN,False
Metoprolol,16S,random_kfold,0.3427,17.272,32.085,0.4953,13.595,28.081,0.4769,13.389,28.388,0.5434,11.703,26.769,TabPFN,TabPFN,TabPFN,True
Metoprolol,16S,temporal_holdout,0.1746,16.415,27.002,0.2478228714069619,11.60788495966937,25.77650939388052,0.2218400900643418,11.469427391553015,26.217934256581746,0.0803,11.157,28.503,RF,TabPFN,RF,False
Metoprolol,16S,temporal_blocked_kfold,-0.4687,22.113,37.439,0.0424,18.524,33.198,-0.3674,19.802,37.741,0.1051,17.053,33.079,TabPFN,TabPFN,TabPFN,True
Metoprolol,16S,leave_one_site_out,-2.0477,19.308,29.481,-1.7684807013014685,15.70362793907547,24.26679405455605,-2.118052905188238,15.591124781309231,26.637370294947186,-1.7025,13.262,21.818,TabPFN,TabPFN,TabPFN,True
Metoprolol,18S,random_kfold,0.2635,19.347,33.986,0.3684905414074321,16.044762547388167,31.21751923641885,0.3330395093272339,16.485331834971376,32.17102468778886,0.4679,12.895,28.725,TabPFN,TabPFN,TabPFN,True
