target,strategy,model,fold,site,n_test,y_test_mean,r2,mae,rmse,alpha
temperature,random_kfold,RF,4,fold4,244,10.73475021450601,0.9607096151086256,0.8184999439321753,1.2056133154505315,
temperature,random_kfold,XGBoost,0,fold0,245,11.13303542581306,0.9648406748380092,0.7999360416349188,1.174664210064719,
temperature,random_kfold,XGBoost,1,fold1,245,11.039185877344355,0.9753301461845378,0.7686545933872905,1.0143642083951654,
temperature,random_kfold,XGBoost,2,fold2,245,11.373546513124646,0.973179941006203,0.8191277821559243,1.0670582656021907,
temperature,random_kfold,XGBoost,3,fold3,244,10.369662517476298,0.9613042613250284,0.8887397788492375,1.1987263833744417,
temperature,random_kfold,XGBoost,4,fold4,244,10.73475021450601,0.9679061818396736,0.795346810746816,1.0896213096638336,
temperature,random_kfold,TabPFN,0,fold0,245,11.13303542581306,0.9867310438398824,0.5481418453002992,0.7216254660620326,
temperature,random_kfold,TabPFN,1,fold1,245,11.039185877344355,0.9860887785706411,0.5640522607883409,0.7617163199472455,
temperature,random_kfold,TabPFN,2,fold2,245,11.373546513124646,0.9839793376086,0.5978460375276694,0.8247047655057556,
temperature,random_kfold,TabPFN,3,fold3,244,10.369662517476298,0.9846750014549692,0.5788655692621871,0.7543774784591338,
temperature,random_kfold,TabPFN,4,fold4,244,10.73475021450601,0.984706308177681,0.5385020240123506,0.7521787530045726,
salinity,leave_one_site_out,Lasso,0,Boergerende Strand,87,14.851311642167609,0.5718225824617404,1.3160753217605354,1.849255656114225,8.124149042362118
salinity,leave_one_site_out,Lasso,1,Diedrichshagen,84,14.659828770429034,0.1372954194799546,1.7112077149878009,2.6814263814539054,14.227567377119788
salinity,leave_one_site_out,Lasso,2,Elmenhorst Strand,82,14.679070517636214,0.46638171642078796,1.5639637841842005,2.1269344239182475,10.73156377030932
salinity,leave_one_site_out,Lasso,3,Jemnitzschleuse,88,14.607041970650226,0.4716330158633204,1.5046376552299372,2.0560782807513847,9.362530599234658
salinity,leave_one_site_out,Lasso,4,Mittelmole Warnemuende,88,14.643824603675961,0.47952427203851644,1.3730821960575785,1.8623146815742195,6.201162624029636
salinity,leave_one_site_out,Lasso,5,Muehlendamm,90,0.4467975949866631,-802.082203316391,5.686196271888511,7.496488546528767,6.731771888652017
salinity,leave_one_site_out,Lasso,6,Neptun-Werft,89,13.485563526465244,0.4060072062092931,1.5354716414287068,2.5320199508389867,5.8005753995141225
salinity,leave_one_site_out,Lasso,7,Parkplatz zur Warnow,88,11.440449833466598,0.7462626888209374,1.710622281276739,2.304739764427761,5.30319381333545
salinity,leave_one_site_out,Lasso,8,SAB Marina Bramow,90,11.677599042065673,0.7147966973684834,1.8636911791113568,2.53091215650552,6.562355439616651
salinity,leave_one_site_out,Lasso,9,Schmarl-Dorf / IGA-Park,87,12.151398944163088,0.7766504982339524,1.4798769128002733,2.067051760554504,6.602684508777228
salinity,leave_one_site_out,Lasso,10,Schwimmhalle Gehlsdorf,86,10.855659970554058,0.6993814387810305,1.9379118141689262,2.6341848970986814,5.27011625350732
salinity,leave_one_site_out,Lasso,11,Stadthafen Rostock,89,9.051682636266664,0.5965418329891058,2.5433645726512704,3.5051407572499227,5.81258046491403
salinity,leave_one_site_out,Lasso,12,Steilkueste Nienhagen,85,14.697878380619654,0.5113094474268602,1.57817231905016,1.9995359380298487,14.221989044014228
salinity,leave_one_site_out,Lasso,13,Warnemuende Strand,84,14.845406822873217,-0.17389548972948865,1.7436450201312694,3.101634497774205,14.17443963139849
temperature,random_kfold,Lasso,0,fold0,245,11.13303542581306,0.7220670769988569,2.5190381937944077,3.30265697562174,20.38248583941255
temperature,random_kfold,Lasso,1,fold1,245,11.039185877344355,0.7050152110831925,2.621380486303696,3.5076030557498057,10.340685984154481
temperature,random_kfold,Lasso,2,fold2,245,11.373546513124646,0.7415852131214695,2.597176153127129,3.3122030319036257,8.441010346449636
temperature,random_kfold,Lasso,3,fold3,244,10.369662517476298,0.5736089115679337,2.6453837365858472,3.979170543466173,8.709362090375723
temperature,random_kfold,Lasso,4,fold4,244,10.73475021450601,0.5690641013460787,2.505913147938603,3.992741845009635,7.966168664498535
