r2,rmse,mae,features,model,target,input,strategy,fold,n_train,n_test,seed,model_path
0.9851052165031433,0.7645577368405863,0.5878860354423523,embedding,ridge,temperature,16S,random_kfold,0,978,245,42,...
0.9852744936943054,0.7602008269394068,0.5817052125930786,embedding,knn,temperature,16S,random_kfold,0,978,245,42,...
0.7138336896896362,3.351218323719728,2.4100918769836426,raw,ridge,temperature,16S,random_kfold,0,978,245,42,...
0.9569559097290039,1.2997213174979356,0.9567360281944275,raw,knn,temperature,16S,random_kfold,0,978,245,42,...
0.9859939217567444,0.7643082642761894,0.5599890947341919,embedding,ridge,temperature,16S,random_kfold,1,978,245,42,...
0.9841917753219604,0.8119921197320938,0.5782451629638672,embedding,knn,temperature,16S,random_kfold,1,978,245,42,...
0.7482396364212036,3.240442601573025,2.450005054473877,raw,ridge,temperature,16S,random_kfold,1,978,245,42,...
0.9466683268547058,1.4914317189315465,0.9929786920547485,raw,knn,temperature,16S,random_kfold,1,978,245,42,...
0.985126256942749,0.7946365931770727,0.5844405293464661,embedding,ridge,temperature,16S,random_kfold,2,978,245,42,...
0.9841845631599426,0.8194053720509038,0.5954135060310364,embedding,knn,temperature,16S,random_kfold,2,978,245,42,...
0.7238031625747681,3.424267215720853,2.5733683109283447,raw,ridge,temperature,16S,random_kfold,2,978,245,42,...
0.9237489700317383,1.7992072850009904,1.1748077869415283,raw,knn,temperature,16S,random_kfold,2,978,245,42,...
0.9852495789527893,0.7401003754044637,0.5540999174118042,embedding,ridge,temperature,16S,random_kfold,3,979,244,42,...
0.9835277199745178,0.7821060068715091,0.5832445025444031,embedding,knn,temperature,16S,random_kfold,3,979,244,42,...
0.5697957873344421,3.996923455607494,2.654188394546509,raw,ridge,temperature,16S,random_kfold,3,979,244,42,...
0.9466254115104675,1.4078480435540668,1.0466549396514893,raw,knn,temperature,16S,random_kfold,3,979,244,42,...
0.9840781092643738,0.7674716555303795,0.553238034248352,embedding,ridge,temperature,16S,random_kfold,4,979,244,42,...
0.9824503660202026,0.8057479537289278,0.5657557249069214,embedding,knn,temperature,16S,random_kfold,4,979,244,42,...
0.6191287040710449,3.753652065852925,2.4329466819763184,raw,ridge,temperature,16S,random_kfold,4,979,244,42,...
0.9382285475730896,1.5116764821691062,1.0234501361846924,raw,knn,temperature,16S,random_kfold,4,979,244,42,...
0.5993914604187012,1.440742401833781,1.1436412334442139,embedding,ridge,temperature,16S,temporal_holdout,0,978,245,42,...
0.4509105682373047,1.6867385135144755,1.383506417274475,embedding,knn,temperature,16S,temporal_holdout,0,978,245,42,...
-8.332035064697266,6.95367498044326,4.339844703674316,raw,ridge,temperature,16S,temporal_holdout,0,978,245,42,...
-0.42176854610443115,2.7141926595325363,2.2285819053649902,raw,knn,temperature,16S,temporal_holdout,0,978,245,42,...
0.7502658367156982,1.845964750286068,1.460766077041626,embedding,ridge,temperature,16S,temporal_blocked_kfold,0,978,245,42,...
0.6625393629074097,2.145833160499146,1.6773203611373901,embedding,knn,temperature,16S,temporal_blocked_kfold,0,978,245,42,...
-10.442625999450684,12.495315894827288,7.840813159942627,raw,ridge,temperature,16S,temporal_blocked_kfold,0,978,245,42,...
-0.26868462562561035,4.160650691348054,3.212616205215454,raw,knn,temperature,16S,temporal_blocked_kfold,0,978,245,42,...
0.689113438129425,1.8279010602941193,1.4306700229644775,embedding,ridge,temperature,16S,temporal_blocked_kfold,1,978,245,42,...
0.646933913230896,1.947958498690891,1.4018522500991821,embedding,knn,temperature,16S,temporal_blocked_kfold,1,978,245,42,...
-6.418362617492676,8.92905993187916,5.539520263671875,raw,ridge,temperature,16S,temporal_blocked_kfold,1,978,245,42,...
0.22939014434814453,2.877855458514221,2.2288284301757812,raw,knn,temperature,16S,temporal_blocked_kfold,1,978,245,42,...
0.7078624367713928,2.1476986256093036,1.5829529762268066,embedding,ridge,temperature,16S,temporal_blocked_kfold,2,978,245,42,...
0.6435956358909607,2.3721991637888804,1.8513383865356445,embedding,knn,temperature,16S,temporal_blocked_kfold,2,978,245,42,...
0.09997326135635376,3.7697048008947163,2.68404221534729,raw,ridge,temperature,16S,temporal_blocked_kfold,2,978,245,42,...
0.4334452748298645,2.9908908195706987,2.4363694190979004,raw,knn,temperature,16S,temporal_blocked_kfold,2,978,245,42,...
-0.1852245330810547,1.3413013059503507,1.0551390647888184,embedding,ridge,temperature,16S,temporal_blocked_kfold,3,979,244,42,...
-0.4113583564758301,1.4636750709126187,1.1282354593276978,embedding,knn,temperature,16S,temporal_blocked_kfold,3,979,244,42,...
-18.626354217529297,5.458154670567417,4.148617744445801,raw,ridge,temperature,16S,temporal_blocked_kfold,3,979,244,42,...
-5.267974376678467,3.0845344540889656,1.9301460981369019,raw,knn,temperature,16S,temporal_blocked_kfold,3,979,244,42,...
0.6264653205871582,1.392785697543896,1.1071289777755737,embedding,ridge,temperature,16S,temporal_blocked_kfold,4,979,244,42,...
0.48323702812194824,1.6381908706526158,1.3445239067077637,embedding,knn,temperature,16S,temporal_blocked_kfold,4,979,244,42,...
-6.214008331298828,6.120785255667453,4.052966594696045,raw,ridge,temperature,16S,temporal_blocked_kfold,4,979,244,42,...
-0.4346567392349243,2.7295610176920757,2.250537395477295,raw,knn,temperature,16S,temporal_blocked_kfold,4,979,244,42,...
0.9926722645759583,0.5003854636671357,0.38197949528694153,embedding,ridge,temperature,16S,leave_one_site_out,0,1136,87,42,...
0.9902290105819702,0.5778149727190253,0.42945176362991333,embedding,knn,temperature,16S,leave_one_site_out,0,1136,87,42,...
0.7043558359146118,3.1783696473368708,2.4230973720550537,raw,ridge,temperature,16S,leave_one_site_out,0,1136,87,42,...
0.9704074859619141,1.0055657115503027,0.7143856287002563,raw,knn,temperature,16S,leave_one_site_out,0,1136,87,42,...
0.9849810004234314,0.7439734804364622,0.573461651802063,embedding,ridge,temperature,16S,leave_one_site_out,1,1139,84,42,...
0.9842561483383179,0.7617150722317063,0.5643591284751892,embedding,knn,temperature,16S,leave_one_site_out,1,1139,84,42,...
