target,input,strategy,r2_mean,mae_mean,rmse_mean,model
temperature,18S,random_kfold,0.9584,0.862,1.279,RF
temperature,18S,temporal_holdout,0.3638,1.439,1.816,RF
temperature,18S,temporal_blocked_kfold,-0.524,2.81,3.363,RF
temperature,18S,leave_one_site_out,0.9492,0.926,1.358,RF
temperature,16S+18S,random_kfold,0.9707,0.772,1.075,RF
temperature,16S+18S,temporal_holdout,0.2615,1.623,1.956,RF
temperature,16S+18S,temporal_blocked_kfold,-0.9972,3.071,3.76,RF
temperature,16S+18S,leave_one_site_out,0.9499,0.917,1.22,RF
salinity,16S,random_kfold,0.9505,0.77,1.151,RF
salinity,16S,temporal_holdout,0.9204,0.823,1.234,RF
salinity,16S,temporal_blocked_kfold,0.894,1.127,1.538,RF
salinity,16S,leave_one_site_out,-26.3063,1.044,1.419,RF
salinity,18S,random_kfold,0.9167,1.031,1.505,RF
salinity,18S,temporal_holdout,0.8949,1.11,1.418,RF
salinity,18S,temporal_blocked_kfold,0.8254,1.525,1.973,RF
salinity,18S,leave_one_site_out,-60.1234,1.45,1.934,RF
salinity,16S+18S,random_kfold,0.9489,0.794,1.172,RF
salinity,16S+18S,temporal_holdout,0.9159,0.855,1.269,RF
salinity,16S+18S,temporal_blocked_kfold,0.8907,1.163,1.557,RF
salinity,16S+18S,leave_one_site_out,-29.9356,1.086,1.459,RF
Chl_a_log1p,16S,random_kfold,0.7564,0.315,0.461,RF
Chl_a_log1p,16S,temporal_holdout,0.7838,0.318,0.423,RF
Chl_a_log1p,16S,temporal_blocked_kfold,0.6264,0.391,0.529,RF
Chl_a_log1p,16S,leave_one_site_out,0.3381,0.326,0.467,RF
Chl_a_log1p,18S,random_kfold,0.7544,0.317,0.464,RF
Chl_a_log1p,18S,temporal_holdout,0.8063,0.297,0.401,RF
Chl_a_log1p,18S,temporal_blocked_kfold,0.624,0.39,0.531,RF
Chl_a_log1p,18S,leave_one_site_out,0.2881,0.336,0.476,RF
Chl_a_log1p,16S+18S,random_kfold,0.7682,0.305,0.451,RF
Chl_a_log1p,16S+18S,temporal_holdout,0.8156,0.295,0.391,RF
Chl_a_log1p,16S+18S,temporal_blocked_kfold,0.646,0.379,0.512,RF
Chl_a_log1p,16S+18S,leave_one_site_out,0.3518,0.32,0.457,RF
temperature,16S,temporal_holdout,0.316,1.512,1.883,XGBoost
temperature,16S,temporal_blocked_kfold,0.1375,2.009,2.497,XGBoost
temperature,16S,leave_one_site_out,0.9135,1.067,1.433,XGBoost
temperature,18S,temporal_holdout,0.0458,1.804,2.224,XGBoost
temperature,18S,temporal_blocked_kfold,-0.299,2.595,3.117,XGBoost
temperature,18S,leave_one_site_out,0.9516,0.964,1.299,XGBoost
temperature,16S+18S,temporal_holdout,0.3719,1.482,1.804,XGBoost
temperature,16S+18S,temporal_blocked_kfold,-0.6261,2.812,3.418,XGBoost
temperature,16S+18S,leave_one_site_out,0.9423,0.959,1.24,XGBoost
